review_text,aspect_triplets,new_triplets,reasoning
50'den fazla çay çeşidi ile damak zevkinizi bi yerde yakalayacağı kesin!,"[('çay çeşidi', 'DRINKS#STYLE_OPTIONS', 'positive')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :","[('müzikler', 'AMBIENCE#GENERAL', 'positive'), ('ortam', 'AMBIENCE#GENERAL', 'positive'), ('Mizuno Pudding', 'FOOD#QUALITY', 'negative'), ('çeşit', 'DRINKS#STYLE_OPTIONS', 'positive'), ('hesap', 'DRINKS#PRICES', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Abartildigini düsünüyorum.,"[('', 'RESTAURANT#GENERAL', 'negative')]","[['', 'RESTAURANT#GENERAL', 'negative']]","Review states 'exaggerated' referring to overall restaurant, consistent with existing label."
Aci sevmeyenlere uygun bir mekan degil.,"[('mekan', 'RESTAURANT#GENERAL', 'neutral')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Acik ara en iyi donerci.,"[('donerci', 'RESTAURANT#GENERAL', 'positive')]","[['donerci', 'RESTAURANT#GENERAL', 'positive']]",Açık ara en iyi donerci ifadesi restoran geneli için pozitif duygu belirtiyor.
Acik mekanda ise gardenya bolumu guzel.,"[('gardenya bolumu', 'AMBIENCE#GENERAL', 'positive')]","[['gardenya bolumu', 'AMBIENCE#GENERAL', 'positive']]",Existing label correctly captures positive ambience for gardenya section.
Acikcasi cok ayilip bayilani var ama ben daha kalin hamurlu pizzalari seviyorum.,"[('pizzalari', 'FOOD#STYLE_OPTIONS', 'negative')]","[['pizzalari', 'FOOD#STYLE_OPTIONS', 'negative']]","Reviewer prefers thick crust, implying negative sentiment towards thin-crust pizzas."
Acildigindan beri ara sira gidiyordum.,"[('', 'RESTAURANT#GENERAL', 'neutral')]","[['', 'RESTAURANT#GENERAL', 'neutral']]","Review only mentions occasional visits, no specific sentiment or aspect beyond general."
Adeta menemen degil biberli omlet olmus gibi.,"[('menemen', 'FOOD#QUALITY', 'negative')]","[['menemen', 'FOOD#QUALITY', 'negative']]","Metin, menemenin biberli omlete benzediğini, yani olumsuz bir kalite eleştirisi yapıyor."
Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama.,"[('pizzalar', 'FOOD#QUALITY', 'neutral')]","[['pizzalar', 'FOOD#QUALITY', 'negative']]","Ne yazik ki ortalama ifadesi hayal kırıklığı belirtir, bu nedenle olumsuz."
"Adı üzerinde ""menemeni"" ile ünlü, sıcak, samimi, esnaf restoranı.","[('esnaf restoranı', 'AMBIENCE#GENERAL', 'positive')]","[['menemeni', 'FOOD#QUALITY', 'positive'], ['esnaf restoranı', 'AMBIENCE#GENERAL', 'positive']]",Eklenen triplet: menemeni ile ünlü (FOOD pozitif). Mevcut ambience etiketi doğru.
Adıyla meşhur menemen yiyeyim dedim domates kabuğu ayıklamaktan hiçbir şey anlamadım.,"[('menemen', 'FOOD#QUALITY', 'negative')]","[['menemen', 'FOOD#QUALITY', 'negative']]","Menemenin domates kabuğu ayıklanmamış, olumsuz."
Afiyetle!,"[('', 'FOOD#QUALITY', 'positive')]","[['', 'FOOD#QUALITY', 'positive']]",Afiyetle implies positive food quality without specific target.
Ah be Sezgin Abi eski lezzetine hasretiz,"[('lezzetine', 'FOOD#QUALITY', 'negative')]","[['lezzetine', 'FOOD#QUALITY', 'negative']]","Metin eski lezzetin özlemini belirtiyor, şimdiki lezzetin kötü olduğunu ima ediyor."
Alkol olsa daha tutulabilirler.,"[('Alkol', 'DRINKS#STYLE_OPTIONS', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
"Alkol çeşitliliği, yemekleri, dekorasyonu, barmeni, müşteri profili olarak benim için Kadıköy'dekl en iyi mekandır.","[('Alkol', 'DRINKS#STYLE_OPTIONS', 'positive'), ('barmeni', 'SERVICE#GENERAL', 'positive'), ('müşteri profili', 'AMBIENCE#GENERAL', 'positive'), ('dekorasyonu', 'AMBIENCE#GENERAL', 'positive'), ('yemekleri', 'FOOD#QUALITY', 'positive')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
"Alkollü içki almadiginiz bir restda adam basi 80/90 tl hesap cookk fazla ,üstelik gayet az yedik .","[('80/90 tl hesap', 'RESTAURANT#PRICES', 'negative')]","[['80/90 tl hesap', 'RESTAURANT#PRICES', 'negative']]","Yemek ve içki miktarı az olmasına rağmen hesap yüksek, fiyat şikayeti var."
Ama Pizzeria Trio' nun pizzalari da guzel.,"[('pizzalari', 'FOOD#QUALITY', 'positive')]","[['pizzalari', 'FOOD#QUALITY', 'positive']]","Metin sadece pizzaların güzel olduğunu belirtiyor, mevcut etiket doğru."
Ama benim derdim kebap degil yeni bir yer görmek diyorsaniz kesinlikle tavsiye edilir.,"[('yer', 'AMBIENCE#GENERAL', 'positive'), ('kebap', 'FOOD#QUALITY', 'neutral')]","[['yer', 'AMBIENCE#GENERAL', 'positive'], ['kebap', 'FOOD#QUALITY', 'neutral']]","Review recommends place positively, kebab mentioned neutrally as non-primary concern."
Ama bu mekan iyi bir isletmeci ile söyle iyi bir sekilde elden geçse çok iyi isler çikar buradan...,"[('buradan', 'RESTAURANT#GENERAL', 'positive'), ('isletmeci', 'SERVICE#GENERAL', 'negative')]","[['isletmeci', 'SERVICE#GENERAL', 'negative']]","Operator implied inadequate; place sentiment conditional, not explicit."
Ama dunyanin en yavas evlere servis hizmetini sunuyorlar.,"[('evlere servis hizmetini', 'SERVICE#GENERAL', 'negative')]","[['evlere servis hizmetini', 'SERVICE#GENERAL', 'negative']]",Yavaş servis hizmeti olumsuz değerlendirilmiş.
Ama döneri methedildiği kadar değilmiş.,"[('döneri', 'FOOD#QUALITY', 'negative')]","[['döneri', 'FOOD#QUALITY', 'negative']]","Dönerin beklentiyi karşılamadığı belirtilmiş, olumsuz."
Ama hizmet konusunda on puan veriyorum,"[('hizmet', 'SERVICE#GENERAL', 'positive')]","[['hizmet', 'SERVICE#GENERAL', 'positive']]","Review explicitly gives ten points for service, indicating positive sentiment."
Ama kahvaltı seçenekleri zayıf zira fotoğraftaki sözde zengin kahvaltı tabağı karar sizin.,"[('kahvaltı', 'FOOD#STYLE_OPTIONS', 'negative')]","[['kahvaltı', 'FOOD#STYLE_OPTIONS', 'negative']]","Metinde kahvaltı seçeneklerinin zayıf olduğu belirtilmiş, negatif."
Ama kalabalık ve gürültüden dolayı çok fazla duramadık.,"[('', 'AMBIENCE#GENERAL', 'negative')]","[['', 'AMBIENCE#GENERAL', 'negative']]",Kalabalık ve gürültü ambiyansı olumsuz etkiliyor.
Ama maalesef eski lezzet mi?,"[('lezzet', 'FOOD#QUALITY', 'negative')]","[['lezzet', 'FOOD#QUALITY', 'negative']]","Metinde 'eski lezzet mi?' ifadesiyle lezzetin eskisi gibi olmadığı ima ediliyor, olumsuz."
"Ama servis konusunda personelinden memnun değilim, bu konuda kendilerini inş.","[('personelinden', 'SERVICE#GENERAL', 'negative')]","[['personel', 'SERVICE#GENERAL', 'negative']]",Metinde 'personelinden memnun değilim' ifadesi servis personeline yönelik olumsuz duygu belirtir.
Ama sunum resmen sıfır.,"[('sunum', 'SERVICE#GENERAL', 'negative')]","[['sunum', 'FOOD#QUALITY', 'negative']]","Review states presentation is 'zero', indicating negative sentiment; presentation relates to food quality."
Anadolu Yakasi'nda kebap yenebilecek en iyi ve en nezih yerlerden birisi.,"[('kebap', 'FOOD#QUALITY', 'positive'), ('yerlerden', 'AMBIENCE#GENERAL', 'positive')]","[['kebap', 'FOOD#QUALITY', 'positive'], ['mekan', 'AMBIENCE#GENERAL', 'positive']]","En iyi kebap kalitesi, en nezih mekan atmosferi vurgulanmış."
Ancak balıklara gelince bir durdum.,"[('balıklara', 'FOOD#QUALITY', 'negative')]","[['balıklara', 'FOOD#QUALITY', 'negative']]",Balıklardan bahsederken 'durdum' ifadesi olumsuz bir yargı belirtiyor.
Ancak bir seyler yemek için çok iyi denemez.,"[('yemek', 'FOOD#QUALITY', 'negative')]","[['yemek', 'FOOD#QUALITY', 'negative']]","Review directly states food is not good, matching current label."
"Ancak her gün çeşit çeşit ev yemeğinin çıkıyor olması çok cazip, ister zeytinyağlılar ister sıcak yemekler insanı her gün fast food yemekten alıkoyuyor.","[('ev yemeğinin', 'FOOD#STYLE_OPTIONS', 'positive')]","[['çeşit çeşit ev yemeği', 'FOOD#QUALITY', 'positive']]",Ev yemeklerinin çeşitliliği ve cazibesi olumlu; standart kategoriye uyarlandı.
Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,"[('pideyi', 'FOOD#STYLE_OPTIONS', 'negative')]","[['pideyi', 'FOOD#STYLE_OPTIONS', 'negative']]",Arkadaşlar çıtır pideyi sevmediği için olumsuz.
"Ancak mekanin en buyuk sıkıntısı hizmet kalitesi, cok cok yavaslar!","[('hizmet kalitesi', 'SERVICE#GENERAL', 'negative')]","[['hizmet kalitesi', 'SERVICE#GENERAL', 'negative']]","The review explicitly states service quality is very slow, negative sentiment."
Ancak servis harika 250 kişilik dükkanda herkese yetişiyorlar.,"[('servis', 'SERVICE#GENERAL', 'positive')]","[['servis', 'SERVICE#GENERAL', 'positive']]","Review explicitly praises service speed and capacity, no other aspects mentioned."
Ancak yemekleri gerçekten çok lezzetli.,"[('yemekleri', 'FOOD#QUALITY', 'positive')]","[['yemekleri', 'FOOD#QUALITY', 'positive']]","Review directly states food is delicious, supporting positive FOOD#QUALITY."
Ancak çok büyük beklentiyle gidilmemeli ki sonra çok üzülmemeli:,"[('', 'RESTAURANT#GENERAL', 'neutral')]","[['', 'RESTAURANT#GENERAL', 'neutral']]","Metin genel bir uyarı niteliğinde, belirli bir hedef yok. Duygu nötr."
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.","[('getirmeleride', 'SERVICE#GENERAL', 'negative'), ('garsonlarinin', 'SERVICE#GENERAL', 'negative'), ('', 'FOOD#STYLE_OPTIONS', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Aparatifleri de açliginizi yaristirmak için birebirdir.,"[('Aparatifleri', 'FOOD#QUALITY', 'positive')]","[['Aparatifleri', 'FOOD#QUALITY', 'positive']]","Appetizers praised as perfect to satisfy hunger, indicating positive quality."
Arada bir belki tatlı yemeye gidilebilir.,"[('tatlı', 'FOOD#QUALITY', 'positive')]","[['tatlı', 'FOOD#QUALITY', 'neutral']]","Review suggests occasional dessert visit with 'belki' (maybe), indicating weak positive or neutral sentiment."
Ardindan en çok begendigim ise döner oldu.,"[('döner', 'FOOD#QUALITY', 'positive')]","[['döner', 'FOOD#QUALITY', 'positive']]",Metin döneri beğendiğini açıkça belirtiyor.
Arka bahçesi tüm yorgunluğunu alıyor insanın.,"[('Arka bahçesi', 'AMBIENCE#GENERAL', 'positive')]","[['Arka bahçesi', 'AMBIENCE#GENERAL', 'positive']]","Metin doğrudan arka bahçenin yorgunluğu aldığını belirtiyor, olumlu atmosfer."
Arkadasim begendili tavuk yedi o da ayni seyi yasadi.,"[('begendili tavuk', 'FOOD#QUALITY', 'negative')]","[['begendili tavuk', 'FOOD#QUALITY', 'negative']]","Metinde arkadaşın da aynı olumsuz deneyimi yaşadığı belirtilmiş, dolayısıyla negatif."
Arkadasim lasagne yedi ama pek begenmedi.,"[('lasagne', 'FOOD#QUALITY', 'negative')]","[['lasagne', 'FOOD#QUALITY', 'negative']]","Lasagne disliked by friend, directly implies negative food quality."
"Arkadaşım aşkı memnu söyledi,ben de cheescake söyledim.","[('cheescake', 'FOOD#QUALITY', 'neutral'), ('aşkı memnu', 'FOOD#QUALITY', 'neutral')]","[['aşkı memnu', 'DRINKS#QUALITY', 'neutral'], ['cheescake', 'FOOD#QUALITY', 'neutral']]",No explicit sentiment; only orders mentioned. Corrected 'aşkı memnu' aspect to DRINKS.
Arkasından içtiğimiz kahve için çok beklesekte fazla beklentisiz bir cafe olduğundan notu 3.5 olarak verdim,"[('beklesekte', 'SERVICE#GENERAL', 'negative'), ('cafe', 'RESTAURANT#GENERAL', 'neutral')]",[],JSON_ERROR: Unterminated string starting at: line 2 column 66 (char 67)
Aslında doymuştuk ama gözümüzün açlığından patatesli mantısını da denedik gayet iyiydi ama ekstra bir özelliği yoktu.,"[('patatesli mantısını', 'FOOD#QUALITY', 'neutral')]","[['patatesli mantısını', 'FOOD#QUALITY', 'positive']]","Metin 'gayet iyiydi' ifadesiyle olumlu değerlendiriyor, 'ekstra özellik yok' nötr bir ek bilgi."
Atıştırmalık Jumbo Combo pek yummy!,"[('Atıştırmalık Jumbo Combo', 'FOOD#QUALITY', 'positive')]","[['Atıştırmalık Jumbo Combo', 'FOOD#QUALITY', 'positive']]",Mevcut etiket doğru: 'yummy' ifadesi olumlu. Ek veya değişiklik gerekmez.
"Aynı zamanda Tavla, okey gibi oyunları da oynayabileceğiniz bölümleri var.","[('Tavla, okey gibi oyunları', 'RESTAURANT#GENERAL', 'positive')]","[['Tavla, okey gibi oyunları', 'RESTAURANT#GENERAL', 'positive']]",Oyun bölümlerinin varlığı olumlu bir özellik olarak belirtilmiş.
Ayrica genelde çok kalabalik olmasi nedeniyle yer kapmak için bayagi bir ugrasmak gerekiyor.,"[('yer kapmak', 'SERVICE#GENERAL', 'negative')]","[['yer kapmak', 'SERVICE#GENERAL', 'negative']]",Kalabalik nedeniyle yer bulma zorlugu negatif.
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,"[('masalarin', 'AMBIENCE#GENERAL', 'negative')]","[['masalarin', 'AMBIENCE#GENERAL', 'negative']]","Table closeness causes discomfort, directly related to ambiance."
Ayrica sacma sapan hesapta gelip sonrasinda bahsisle calisan valenin para diye tutturmasida cabasi.,"[('valenin', 'SERVICE#GENERAL', 'negative'), ('hesapta', 'RESTAURANT#PRICES', 'negative')]","[['valenin', 'SERVICE#GENERAL', 'negative'], ['hesapta', 'RESTAURANT#PRICES', 'negative']]","Şikayet edilen valenin bahşiş ısrarı ve saçma hesap, her ikisi de olumsuz."
Ayrıca bahsettiğim meşhur tatlı 21 tl,"[('tatlı', 'FOOD#PRICES', 'neutral')]","[['tatlı', 'FOOD#PRICES', 'neutral']]","Fiyat belirtilmiş, duygu içermiyor."
Ayrıca baklava yanmış gibi.,"[('baklava', 'FOOD#QUALITY', 'negative')]","[['baklava', 'FOOD#QUALITY', 'negative']]","Review states baklava tastes burnt, indicating negative quality."
Ayrıca en son Premier League maçlarını da veriyorlardı.,"[('Premier League maçlarını', 'SERVICE#GENERAL', 'positive')]","[['Premier League maçlarını', 'SERVICE#GENERAL', 'positive']]",Maç gösterme hizmeti olumlu bir ek hizmet olarak değerlendirilir.
Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.,"[('fix menü', 'FOOD#STYLE_OPTIONS', 'negative')]","[['fix menü zorlaması', 'SERVICE#GENERAL', 'negative']]","Fix menü zorlaması sinir bozucu bir uygulama, servisle ilgili negatif."
Ayrıca hergun çıkardıkları farklı zeytinyağlı yemekleri de çok başarılı.,"[('zeytinyağlı yemekleri', 'FOOD#QUALITY', 'positive')]","[['zeytinyağlı yemekleri', 'FOOD#QUALITY', 'positive']]",Review praises daily olive oil dishes as 'çok başarılı'; only FOOD#QUALITY positive.
Ayrıca rezervasyon alıyorlar ki Numnum'sınız siz havanız kime diyesi geliyor insanın.,"[('rezervasyon', 'SERVICE#GENERAL', 'negative')]","[['rezervasyon', 'SERVICE#GENERAL', 'negative']]","Rezervasyon ile ilgili olumsuz ifade var, başka aspect yok."
Açik ayrani fena degildi.,"[('Açik ayrani', 'DRINKS#QUALITY', 'neutral')]","[['Açik ayrani', 'DRINKS#QUALITY', 'positive']]","'fena degildi' means not bad, indicating slightly positive sentiment."
Açık ortamda yemek isteyenler için güzel bir ortam.,"[('ortam', 'AMBIENCE#GENERAL', 'positive')]","[['açık ortam', 'AMBIENCE#GENERAL', 'positive']]","Review açık ortamı güzel olarak değerlendiriyor, olumlu."
Açıkçası hicbirinin tadını tam alamiyorsunuz.,"[('', 'FOOD#STYLE_OPTIONS', 'negative')]","[['', 'FOOD#QUALITY', 'negative']]","Review states inability to taste flavors of any items, negative sentiment about food quality."
Aşk-ı Memnu'yu tatmayan kalmasın!,"[(""Aşk-ı Memnu'yu"", 'FOOD#QUALITY', 'positive')]","[[""Aşk-ı Memnu'yu"", 'FOOD#QUALITY', 'positive']]","Review strongly recommends the dish, indicating positive food quality."
Aşşk-ı Memnu vasat bir tada sahip bence.,"[('Aşşk-ı Memnu', 'FOOD#QUALITY', 'neutral')]","[['Aşşk-ı Memnu', 'FOOD#QUALITY', 'negative']]",'Vasat' (mediocre) ifadesi olumsuz sentiment belirtir.
Bahariyede gezerken yemek yemek icin buraya gelebilirsiniz mekan guzel sik menu de cesitli gayet.,"[('mekan', 'AMBIENCE#GENERAL', 'positive'), ('menu', 'FOOD#STYLE_OPTIONS', 'positive')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Bahcesi huzurlu.,"[('Bahcesi', 'AMBIENCE#GENERAL', 'positive')]","[['Bahcesi', 'AMBIENCE#GENERAL', 'positive']]","Garden (Bahcesi) is explicitly described as peaceful, implying positive ambiance."
Bahçesi de güzel.,"[('Bahçesi', 'AMBIENCE#GENERAL', 'positive')]","[['Bahçesi', 'AMBIENCE#GENERAL', 'positive']]","Review explicitly states 'Bahçesi güzel' (garden nice), confirming positive sentiment for ambience."
Bahçesi insana huzur veriyordu...,"[('Bahçesi', 'AMBIENCE#GENERAL', 'positive')]","[['Bahçesi', 'AMBIENCE#GENERAL', 'positive']]","Garden gives peace, clearly positive atmosphere."
Bahçesi keyifli yemekte çok kötü değildi.,"[('Bahçesi', 'AMBIENCE#GENERAL', 'positive'), ('yemekte', 'FOOD#QUALITY', 'neutral')]","[['Bahçesi', 'AMBIENCE#GENERAL', 'positive'], ['yemekte', 'FOOD#QUALITY', 'neutral']]","Bahçesi positive (keyifli), yemekte neutral (çok kötü değildi)."
Bahçesi çok güzel.,"[('Bahçesi', 'AMBIENCE#GENERAL', 'positive')]","[['Bahçesi', 'AMBIENCE#GENERAL', 'positive']]","Explicit positive sentiment for garden, correctly labeled."
Bahçesinde sakince yemeğinizi yiyebilirsiniz.,"[('Bahçesinde', 'AMBIENCE#GENERAL', 'positive')]","[['Bahçesinde', 'AMBIENCE#GENERAL', 'positive']]",Bahçede sakin yemek yeme imkanı atmosfer için pozitif.
